# Paper classes generated at the trusted tier.
# Written by the generator. The runtime authorises against this
# by exact name, so a class merely sharing a simple name with one
# of these is not one of these.
#
# One line per type: the Paper class, a tab, and the Aussom class
# it is reachable as. The two differ where Paper reuses a simple
# name, since Aussom has no packages. Both columns come from the
# same map the modules were named from, so the manifest cannot
# disagree with what was written.
com.destroystokyo.paper.MaterialSetTag	MaterialSetTag
io.papermc.paper.registry.data.ChickenVariantRegistryEntry	ChickenVariantRegistryEntry
io.papermc.paper.registry.data.CowVariantRegistryEntry	CowVariantRegistryEntry
io.papermc.paper.registry.data.DamageTypeRegistryEntry	DamageTypeRegistryEntry
io.papermc.paper.registry.data.EnchantmentRegistryEntry	EnchantmentRegistryEntry
io.papermc.paper.registry.data.FrogVariantRegistryEntry	FrogVariantRegistryEntry
io.papermc.paper.registry.data.GameEventRegistryEntry	GameEventRegistryEntry
io.papermc.paper.registry.data.InlinedRegistryBuilderProvider	InlinedRegistryBuilderProvider
io.papermc.paper.registry.data.InstrumentRegistryEntry	InstrumentRegistryEntry
io.papermc.paper.registry.data.JukeboxSongRegistryEntry	JukeboxSongRegistryEntry
io.papermc.paper.registry.data.PaintingVariantRegistryEntry	PaintingVariantRegistryEntry
io.papermc.paper.registry.data.PigVariantRegistryEntry	PigVariantRegistryEntry
io.papermc.paper.registry.data.SoundEventRegistryEntry	SoundEventRegistryEntry
io.papermc.paper.registry.data.SulfurCubeArchetypeRegistryEntry	SulfurCubeArchetypeRegistryEntry
io.papermc.paper.registry.data.TrimMaterialRegistryEntry	TrimMaterialRegistryEntry
io.papermc.paper.registry.data.TrimPatternRegistryEntry	TrimPatternRegistryEntry
io.papermc.paper.registry.data.WolfVariantRegistryEntry	WolfVariantRegistryEntry
io.papermc.paper.registry.data.ZombieNautilusVariantRegistryEntry	ZombieNautilusVariantRegistryEntry
io.papermc.paper.registry.data.client.ClientTextureAsset	ClientTextureAsset
io.papermc.paper.registry.data.dialog.ActionButton	ActionButton
io.papermc.paper.registry.data.dialog.DialogBase	DialogBase
io.papermc.paper.registry.data.dialog.DialogInstancesProvider	DialogInstancesProvider
io.papermc.paper.registry.data.dialog.DialogRegistryEntry	DialogRegistryEntry
io.papermc.paper.registry.data.dialog.action.DialogAction	DialogAction
io.papermc.paper.registry.data.dialog.body.DialogBody	DialogBody
io.papermc.paper.registry.data.dialog.body.ItemDialogBody	ItemDialogBody
io.papermc.paper.registry.data.dialog.body.PlainMessageDialogBody	PlainMessageDialogBody
io.papermc.paper.registry.data.dialog.input.BooleanDialogInput	BooleanDialogInput
io.papermc.paper.registry.data.dialog.input.DialogInput	DialogInput
io.papermc.paper.registry.data.dialog.input.NumberRangeDialogInput	NumberRangeDialogInput
io.papermc.paper.registry.data.dialog.input.SingleOptionDialogInput	SingleOptionDialogInput
io.papermc.paper.registry.data.dialog.input.TextDialogInput	TextDialogInput
io.papermc.paper.registry.data.dialog.type.ConfirmationType	ConfirmationType
io.papermc.paper.registry.data.dialog.type.DialogListType	DialogListType
io.papermc.paper.registry.data.dialog.type.DialogType	DialogType
io.papermc.paper.registry.data.dialog.type.MultiActionType	MultiActionType
io.papermc.paper.registry.data.dialog.type.NoticeType	NoticeType
io.papermc.paper.registry.data.dialog.type.ServerLinksType	ServerLinksType
io.papermc.paper.registry.event.RegistryComposeEvent	RegistryComposeEvent
io.papermc.paper.registry.event.RegistryEntryAddEvent	RegistryEntryAddEvent
io.papermc.paper.registry.event.RegistryEvent	RegistryEvent
io.papermc.paper.registry.event.RegistryEventProvider	RegistryEventProvider
io.papermc.paper.registry.event.type.RegistryEntryAddConfiguration	RegistryEntryAddConfiguration
io.papermc.paper.registry.event.type.RegistryEntryAddEventType	RegistryEntryAddEventType
io.papermc.paper.registry.set.RegistryKeySet	RegistryKeySet
io.papermc.paper.registry.set.RegistrySet	RegistrySet
io.papermc.paper.registry.set.RegistryValueSet	RegistryValueSet
io.papermc.paper.registry.set.RegistryValueSetBuilder	RegistryValueSetBuilder
io.papermc.paper.registry.tag.Tag	TagTag
io.papermc.paper.registry.tag.TagKey	TagKey
io.papermc.paper.scoreboard.numbers.FixedFormat	FixedFormat
io.papermc.paper.scoreboard.numbers.NumberFormat	NumberFormat
io.papermc.paper.tag.BaseTag	BaseTag
io.papermc.paper.tag.EntitySetTag	EntitySetTag
io.papermc.paper.tag.PostFlattenTagRegistrar	PostFlattenTagRegistrar
io.papermc.paper.tag.PreFlattenTagRegistrar	PreFlattenTagRegistrar
io.papermc.paper.tag.TagEntry	TagEntry
io.papermc.paper.text.Filtered	Filtered
io.papermc.paper.text.PaperComponents	PaperComponents
io.papermc.paper.threadedregions.RegionizedServerInitEvent	RegionizedServerInitEvent
io.papermc.paper.threadedregions.scheduler.ScheduledTask	ScheduledTask
io.papermc.paper.util.BoundChecker	BoundChecker
io.papermc.paper.util.Tick	Tick
io.papermc.paper.util.TransformingRandomAccessList	TransformingRandomAccessList
io.papermc.paper.world.MoonPhase	MoonPhase
io.papermc.paper.world.WeatheringCopperState	WeatheringCopperState
io.papermc.paper.world.damagesource.CombatEntry	CombatEntry
io.papermc.paper.world.damagesource.CombatTracker	CombatTracker
io.papermc.paper.world.damagesource.FallLocationType	FallLocationType
io.papermc.paper.world.flag.FeatureDependant	FeatureDependant
io.papermc.paper.world.flag.FeatureFlagSetHolder	FeatureFlagSetHolder
org.bukkit.Art	Art
org.bukkit.Axis	Axis
org.bukkit.BanEntry	BanEntry
org.bukkit.BanList	BanList
org.bukkit.BlockChangeDelegate	BlockChangeDelegate
org.bukkit.ChatColor	ChatColor
org.bukkit.Chunk	Chunk
org.bukkit.ChunkSnapshot	ChunkSnapshot
org.bukkit.CoalType	CoalType
org.bukkit.Color	Color
org.bukkit.CropState	CropState
org.bukkit.Difficulty	Difficulty
org.bukkit.DyeColor	DyeColor
org.bukkit.Effect	Effect
org.bukkit.EntityEffect	EntityEffect
org.bukkit.ExplosionResult	ExplosionResult
org.bukkit.FeatureFlag	FeatureFlag
org.bukkit.FireworkEffect	FireworkEffect
org.bukkit.Fluid	Fluid
org.bukkit.FluidCollisionMode	FluidCollisionMode
org.bukkit.GameEvent	GameEvent
org.bukkit.GameMode	GameMode
org.bukkit.GameRule	GameRule
org.bukkit.GrassSpecies	GrassSpecies
org.bukkit.HeightMap	HeightMap
org.bukkit.Input	Input
org.bukkit.Instrument	Instrument
org.bukkit.JukeboxSong	JukeboxSong
org.bukkit.Keyed	Keyed
org.bukkit.Location	Location
org.bukkit.Material	Material
org.bukkit.MinecraftExperimental	MinecraftExperimental
org.bukkit.MusicInstrument	MusicInstrument
org.bukkit.Nameable	Nameable
org.bukkit.NamespacedKey	NamespacedKey
org.bukkit.NetherWartsState	NetherWartsState
org.bukkit.Note	Note
org.bukkit.OfflinePlayer	OfflinePlayer
org.bukkit.Particle	Particle
org.bukkit.PortalType	PortalType
org.bukkit.Raid	Raid
org.bukkit.RegionAccessor	RegionAccessor
org.bukkit.Registry	Registry
org.bukkit.Rotation	Rotation
org.bukkit.SandstoneType	SandstoneType
org.bukkit.ServerLinks	ServerLinks
org.bukkit.SkullType	SkullType
org.bukkit.Sound	Sound
org.bukkit.SoundCategory	SoundCategory
org.bukkit.SoundGroup	SoundGroup
org.bukkit.Statistic	Statistic
org.bukkit.StructureType	StructureType
org.bukkit.Tag	Tag
org.bukkit.Translatable	Translatable
org.bukkit.TreeSpecies	TreeSpecies
org.bukkit.TreeType	TreeType
org.bukkit.UndefinedNullability	UndefinedNullability
org.bukkit.Utility	Utility
org.bukkit.Vibration	Vibration
org.bukkit.Warning	Warning
org.bukkit.WeatherType	WeatherType
org.bukkit.World	World
org.bukkit.WorldBorder	WorldBorder
org.bukkit.WorldCreator	WorldCreator
org.bukkit.WorldType	WorldType
org.bukkit.advancement.Advancement	Advancement
org.bukkit.advancement.AdvancementDisplay	AdvancementDisplay
org.bukkit.advancement.AdvancementDisplayType	AdvancementDisplayType
org.bukkit.advancement.AdvancementProgress	AdvancementProgress
org.bukkit.advancement.AdvancementRequirement	AdvancementRequirement
org.bukkit.advancement.AdvancementRequirements	AdvancementRequirements
org.bukkit.attribute.Attributable	Attributable
org.bukkit.attribute.Attribute	Attribute
org.bukkit.attribute.AttributeInstance	AttributeInstance
org.bukkit.attribute.AttributeModifier	AttributeModifier
org.bukkit.ban.IpBanList	IpBanList
org.bukkit.ban.ProfileBanList	ProfileBanList
org.bukkit.block.Banner	Banner
org.bukkit.block.Barrel	Barrel
org.bukkit.block.Beacon	Beacon
org.bukkit.block.Bed	Bed
org.bukkit.block.Beehive	Beehive
org.bukkit.block.Bell	Bell
org.bukkit.block.Biome	Biome
org.bukkit.block.BlastFurnace	BlastFurnace
org.bukkit.block.Block	Block
org.bukkit.block.BlockFace	BlockFace
org.bukkit.block.BlockState	BlockState
org.bukkit.block.BlockSupport	BlockSupport
org.bukkit.block.BlockType	BlockType
org.bukkit.block.BrewingStand	BrewingStand
org.bukkit.block.BrushableBlock	BrushableBlock
org.bukkit.block.CalibratedSculkSensor	CalibratedSculkSensor
org.bukkit.block.Campfire	Campfire
org.bukkit.block.Chest	Chest
org.bukkit.block.ChiseledBookshelf	ChiseledBookshelf
org.bukkit.block.CommandBlock	CommandBlock
org.bukkit.block.Comparator	Comparator
org.bukkit.block.Conduit	Conduit
org.bukkit.block.Container	Container
org.bukkit.block.CopperGolemStatue	CopperGolemStatue
org.bukkit.block.Crafter	Crafter
org.bukkit.block.CreakingHeart	CreakingHeart
org.bukkit.block.CreatureSpawner	CreatureSpawner
org.bukkit.block.DaylightDetector	DaylightDetector
org.bukkit.block.DecoratedPot	DecoratedPot
org.bukkit.block.Dispenser	Dispenser
org.bukkit.block.DoubleChest	DoubleChest
org.bukkit.block.Dropper	Dropper
org.bukkit.block.EnchantingTable	EnchantingTable
org.bukkit.block.EndGateway	EndGateway
org.bukkit.block.EnderChest	EnderChest
org.bukkit.block.EntityBlockStorage	EntityBlockStorage
org.bukkit.block.Furnace	Furnace
org.bukkit.block.HangingSign	HangingSign
org.bukkit.block.Hopper	Hopper
org.bukkit.block.Jigsaw	Jigsaw
org.bukkit.block.Jukebox	Jukebox
org.bukkit.block.Lectern	Lectern
org.bukkit.block.Lidded	Lidded
org.bukkit.block.Lockable	Lockable
org.bukkit.block.Orientation	Orientation
org.bukkit.block.PistonMoveReaction	PistonMoveReaction
org.bukkit.block.PotentSulfur	PotentSulfur
org.bukkit.block.SculkCatalyst	SculkCatalyst
org.bukkit.block.SculkSensor	SculkSensor
org.bukkit.block.SculkShrieker	SculkShrieker
org.bukkit.block.Shelf	Shelf
org.bukkit.block.ShulkerBox	ShulkerBox
org.bukkit.block.Sign	Sign
org.bukkit.block.Skull	Skull
org.bukkit.block.Smoker	Smoker
org.bukkit.block.Structure	Structure
org.bukkit.block.SuspiciousSand	SuspiciousSand
org.bukkit.block.TestBlock	TestBlock
org.bukkit.block.TestInstanceBlock	TestInstanceBlock
org.bukkit.block.TileState	TileState
org.bukkit.block.TrialSpawner	TrialSpawner
org.bukkit.block.Vault	Vault
org.bukkit.block.banner.Pattern	Pattern
org.bukkit.block.banner.PatternType	PatternType
org.bukkit.block.data.Ageable	DataAgeable
org.bukkit.block.data.AnaloguePowerable	AnaloguePowerable
org.bukkit.block.data.Attachable	Attachable
org.bukkit.block.data.Bisected	Bisected
org.bukkit.block.data.BlockData	BlockData
org.bukkit.block.data.Brushable	Brushable
org.bukkit.block.data.Directional	Directional
org.bukkit.block.data.FaceAttachable	FaceAttachable
org.bukkit.block.data.Hangable	Hangable
org.bukkit.block.data.Hatchable	Hatchable
org.bukkit.block.data.Levelled	Levelled
org.bukkit.block.data.Lightable	Lightable
org.bukkit.block.data.MultipleFacing	MultipleFacing
org.bukkit.block.data.Openable	Openable
org.bukkit.block.data.Orientable	Orientable
org.bukkit.block.data.Powerable	Powerable
org.bukkit.block.data.Rail	Rail
org.bukkit.block.data.Rotatable	Rotatable
org.bukkit.block.data.Segmentable	Segmentable
org.bukkit.block.data.SideChaining	SideChaining
org.bukkit.block.data.Snowable	Snowable
org.bukkit.block.data.Waterlogged	Waterlogged
org.bukkit.block.data.type.AmethystCluster	AmethystCluster
org.bukkit.block.data.type.Bamboo	Bamboo
org.bukkit.block.data.type.Barrel	TypeBarrel
org.bukkit.block.data.type.Bed	TypeBed
org.bukkit.block.data.type.Beehive	TypeBeehive
org.bukkit.block.data.type.Bell	TypeBell
org.bukkit.block.data.type.BigDripleaf	BigDripleaf
org.bukkit.block.data.type.BrewingStand	TypeBrewingStand
org.bukkit.block.data.type.BubbleColumn	BubbleColumn
org.bukkit.block.data.type.Cake	Cake
org.bukkit.block.data.type.CalibratedSculkSensor	TypeCalibratedSculkSensor
org.bukkit.block.data.type.Campfire	TypeCampfire
org.bukkit.block.data.type.Candle	Candle
org.bukkit.block.data.type.CaveVines	CaveVines
org.bukkit.block.data.type.CaveVinesPlant	CaveVinesPlant
org.bukkit.block.data.type.Chain	Chain
org.bukkit.block.data.type.Chest	TypeChest
org.bukkit.block.data.type.ChiseledBookshelf	TypeChiseledBookshelf
org.bukkit.block.data.type.Cocoa	Cocoa
org.bukkit.block.data.type.CommandBlock	TypeCommandBlock
org.bukkit.block.data.type.Comparator	TypeComparator
org.bukkit.block.data.type.CopperBulb	CopperBulb
org.bukkit.block.data.type.CopperGolemStatue	TypeCopperGolemStatue
org.bukkit.block.data.type.CoralWallFan	CoralWallFan
org.bukkit.block.data.type.Crafter	TypeCrafter
org.bukkit.block.data.type.CreakingHeart	TypeCreakingHeart
org.bukkit.block.data.type.DaylightDetector	TypeDaylightDetector
org.bukkit.block.data.type.DecoratedPot	TypeDecoratedPot
org.bukkit.block.data.type.Dispenser	TypeDispenser
org.bukkit.block.data.type.Door	Door
org.bukkit.block.data.type.DriedGhast	DriedGhast
org.bukkit.block.data.type.Dripleaf	Dripleaf
org.bukkit.block.data.type.EndPortalFrame	EndPortalFrame
org.bukkit.block.data.type.EnderChest	TypeEnderChest
org.bukkit.block.data.type.Farmland	Farmland
org.bukkit.block.data.type.Fence	Fence
org.bukkit.block.data.type.Fire	Fire
org.bukkit.block.data.type.FlowerBed	FlowerBed
org.bukkit.block.data.type.Furnace	TypeFurnace
org.bukkit.block.data.type.Gate	Gate
org.bukkit.block.data.type.GlassPane	GlassPane
org.bukkit.block.data.type.GlowLichen	GlowLichen
org.bukkit.block.data.type.Grindstone	Grindstone
org.bukkit.block.data.type.HangingMoss	HangingMoss
org.bukkit.block.data.type.HangingSign	TypeHangingSign
org.bukkit.block.data.type.Hopper	TypeHopper
org.bukkit.block.data.type.Jigsaw	TypeJigsaw
org.bukkit.block.data.type.Jukebox	TypeJukebox
org.bukkit.block.data.type.Ladder	Ladder
org.bukkit.block.data.type.Lantern	Lantern
org.bukkit.block.data.type.LeafLitter	LeafLitter
org.bukkit.block.data.type.Leaves	Leaves
org.bukkit.block.data.type.Lectern	TypeLectern
org.bukkit.block.data.type.Light	Light
org.bukkit.block.data.type.LightningRod	LightningRod
org.bukkit.block.data.type.MangrovePropagule	MangrovePropagule
org.bukkit.block.data.type.MossyCarpet	MossyCarpet
org.bukkit.block.data.type.NoteBlock	NoteBlock
org.bukkit.block.data.type.Observer	Observer
org.bukkit.block.data.type.PinkPetals	PinkPetals
org.bukkit.block.data.type.Piston	Piston
org.bukkit.block.data.type.PistonHead	PistonHead
org.bukkit.block.data.type.PitcherCrop	PitcherCrop
org.bukkit.block.data.type.PointedDripstone	PointedDripstone
org.bukkit.block.data.type.PotentSulfur	TypePotentSulfur
org.bukkit.block.data.type.RedstoneRail	RedstoneRail
org.bukkit.block.data.type.RedstoneWallTorch	RedstoneWallTorch
org.bukkit.block.data.type.RedstoneWire	RedstoneWire
org.bukkit.block.data.type.Repeater	Repeater
org.bukkit.block.data.type.ResinClump	ResinClump
org.bukkit.block.data.type.RespawnAnchor	RespawnAnchor
org.bukkit.block.data.type.Sapling	Sapling
org.bukkit.block.data.type.Scaffolding	Scaffolding
org.bukkit.block.data.type.SculkCatalyst	TypeSculkCatalyst
org.bukkit.block.data.type.SculkSensor	TypeSculkSensor
org.bukkit.block.data.type.SculkShrieker	TypeSculkShrieker
org.bukkit.block.data.type.SculkVein	SculkVein
org.bukkit.block.data.type.SeaPickle	SeaPickle
org.bukkit.block.data.type.Shelf	TypeShelf
org.bukkit.block.data.type.Sign	TypeSign
org.bukkit.block.data.type.Skull	TypeSkull
org.bukkit.block.data.type.Slab	Slab
org.bukkit.block.data.type.SmallDripleaf	SmallDripleaf
org.bukkit.block.data.type.Snow	Snow
org.bukkit.block.data.type.Speleothem	Speleothem
org.bukkit.block.data.type.Stairs	Stairs
org.bukkit.block.data.type.StructureBlock	StructureBlock
org.bukkit.block.data.type.Switch	Switch
org.bukkit.block.data.type.TNT	TNT
org.bukkit.block.data.type.TechnicalPiston	TechnicalPiston
org.bukkit.block.data.type.TestBlock	TypeTestBlock
org.bukkit.block.data.type.TrapDoor	TrapDoor
org.bukkit.block.data.type.TrialSpawner	TypeTrialSpawner
org.bukkit.block.data.type.Tripwire	Tripwire
org.bukkit.block.data.type.TripwireHook	TripwireHook
org.bukkit.block.data.type.TurtleEgg	TurtleEgg
org.bukkit.block.data.type.Vault	TypeVault
org.bukkit.block.data.type.Wall	Wall
org.bukkit.block.data.type.WallHangingSign	WallHangingSign
org.bukkit.block.data.type.WallSign	WallSign
org.bukkit.block.data.type.WallSkull	WallSkull
org.bukkit.block.sign.Side	Side
org.bukkit.block.sign.SignSide	SignSide
org.bukkit.block.spawner.SpawnRule	SpawnRule
org.bukkit.block.spawner.SpawnerEntry	SpawnerEntry
org.bukkit.block.structure.Mirror	Mirror
org.bukkit.block.structure.StructureRotation	StructureRotation
org.bukkit.block.structure.UsageMode	UsageMode
org.bukkit.boss.BarColor	BarColor
org.bukkit.boss.BarFlag	BarFlag
org.bukkit.boss.BarStyle	BarStyle
org.bukkit.boss.BossBar	BossBar
org.bukkit.boss.DragonBattle	DragonBattle
org.bukkit.boss.KeyedBossBar	KeyedBossBar
org.bukkit.command.BlockCommandSender	BlockCommandSender
org.bukkit.command.BufferedCommandSender	BufferedCommandSender
org.bukkit.command.Command	Command
org.bukkit.command.CommandException	CommandException
org.bukkit.command.CommandSender	CommandSender
org.bukkit.command.FormattedCommandAlias	FormattedCommandAlias
org.bukkit.command.MessageCommandSender	MessageCommandSender
org.bukkit.command.MultipleCommandAlias	MultipleCommandAlias
org.bukkit.command.ProxiedCommandSender	ProxiedCommandSender
org.bukkit.command.RemoteConsoleCommandSender	RemoteConsoleCommandSender
org.bukkit.configuration.Configuration	Configuration
org.bukkit.configuration.ConfigurationOptions	ConfigurationOptions
org.bukkit.configuration.ConfigurationSection	ConfigurationSection
org.bukkit.configuration.InvalidConfigurationException	InvalidConfigurationException
org.bukkit.configuration.MemoryConfiguration	MemoryConfiguration
org.bukkit.configuration.MemoryConfigurationOptions	MemoryConfigurationOptions
org.bukkit.configuration.MemorySection	MemorySection
org.bukkit.configuration.file.FileConfiguration	FileConfiguration
org.bukkit.configuration.file.FileConfigurationOptions	FileConfigurationOptions
org.bukkit.configuration.file.YamlConfiguration	YamlConfiguration
org.bukkit.configuration.file.YamlConfigurationOptions	YamlConfigurationOptions
org.bukkit.configuration.file.YamlConstructor	YamlConstructor
org.bukkit.configuration.file.YamlRepresenter	YamlRepresenter
org.bukkit.configuration.serialization.ConfigurationSerializable	ConfigurationSerializable
org.bukkit.configuration.serialization.DelegateDeserialization	DelegateDeserialization
org.bukkit.configuration.serialization.SerializableAs	SerializableAs
org.bukkit.conversations.BooleanPrompt	BooleanPrompt
org.bukkit.conversations.Conversable	Conversable
org.bukkit.conversations.Conversation	Conversation
org.bukkit.conversations.ConversationAbandonedEvent	ConversationAbandonedEvent
org.bukkit.conversations.ConversationAbandonedListener	ConversationAbandonedListener
org.bukkit.conversations.ConversationCanceller	ConversationCanceller
org.bukkit.conversations.ConversationContext	ConversationContext
org.bukkit.conversations.ConversationFactory	ConversationFactory
org.bukkit.conversations.ConversationPrefix	ConversationPrefix
org.bukkit.conversations.ExactMatchConversationCanceller	ExactMatchConversationCanceller
org.bukkit.conversations.FixedSetPrompt	FixedSetPrompt
org.bukkit.conversations.InactivityConversationCanceller	InactivityConversationCanceller
org.bukkit.conversations.ManuallyAbandonedConversationCanceller	ManuallyAbandonedConversationCanceller
org.bukkit.conversations.MessagePrompt	MessagePrompt
org.bukkit.conversations.NullConversationPrefix	NullConversationPrefix
org.bukkit.conversations.NumericPrompt	NumericPrompt
org.bukkit.conversations.PlayerNamePrompt	PlayerNamePrompt
org.bukkit.conversations.PluginNameConversationPrefix	PluginNameConversationPrefix
org.bukkit.conversations.Prompt	Prompt
org.bukkit.conversations.RegexPrompt	RegexPrompt
org.bukkit.conversations.StringPrompt	StringPrompt
org.bukkit.conversations.ValidatingPrompt	ValidatingPrompt
org.bukkit.damage.DamageEffect	DamageEffect
org.bukkit.damage.DamageScaling	DamageScaling
org.bukkit.damage.DamageSource	DamageSource
org.bukkit.damage.DamageType	DamageType
org.bukkit.damage.DeathMessageType	DeathMessageType
org.bukkit.enchantments.Enchantment	Enchantment
org.bukkit.enchantments.EnchantmentOffer	EnchantmentOffer
org.bukkit.enchantments.EnchantmentTarget	EnchantmentTarget
org.bukkit.enchantments.EnchantmentWrapper	EnchantmentWrapper
org.bukkit.entity.AbstractArrow	AbstractArrow
org.bukkit.entity.AbstractCow	AbstractCow
org.bukkit.entity.AbstractCubeMob	AbstractCubeMob
org.bukkit.entity.AbstractHorse	AbstractHorse
org.bukkit.entity.AbstractNautilus	AbstractNautilus
org.bukkit.entity.AbstractSkeleton	AbstractSkeleton
org.bukkit.entity.AbstractVillager	AbstractVillager
org.bukkit.entity.AbstractWindCharge	AbstractWindCharge
org.bukkit.entity.Ageable	Ageable
org.bukkit.entity.Allay	Allay
org.bukkit.entity.Ambient	Ambient
org.bukkit.entity.AnimalTamer	AnimalTamer
org.bukkit.entity.Animals	Animals
org.bukkit.entity.AreaEffectCloud	AreaEffectCloud
org.bukkit.entity.Armadillo	Armadillo
org.bukkit.entity.ArmorStand	ArmorStand
org.bukkit.entity.Arrow	Arrow
org.bukkit.entity.Axolotl	Axolotl
org.bukkit.entity.Bat	Bat
org.bukkit.entity.Bee	Bee
org.bukkit.entity.Blaze	Blaze
org.bukkit.entity.BlockDisplay	BlockDisplay
org.bukkit.entity.Boat	Boat
org.bukkit.entity.Bogged	Bogged
org.bukkit.entity.Boss	Boss
org.bukkit.entity.Breedable	Breedable
org.bukkit.entity.Breeze	Breeze
org.bukkit.entity.BreezeWindCharge	BreezeWindCharge
org.bukkit.entity.Camel	Camel
org.bukkit.entity.CamelHusk	CamelHusk
org.bukkit.entity.Cat	Cat
org.bukkit.entity.CaveSpider	CaveSpider
org.bukkit.entity.ChestBoat	ChestBoat
org.bukkit.entity.ChestedHorse	ChestedHorse
org.bukkit.entity.Chicken	Chicken
org.bukkit.entity.Cod	Cod
org.bukkit.entity.ComplexEntityPart	ComplexEntityPart
org.bukkit.entity.ComplexLivingEntity	ComplexLivingEntity
org.bukkit.entity.CopperGolem	CopperGolem
org.bukkit.entity.Cow	Cow
org.bukkit.entity.Creaking	Creaking
org.bukkit.entity.Creature	Creature
org.bukkit.entity.Creeper	Creeper
org.bukkit.entity.Damageable	Damageable
org.bukkit.entity.Display	Display
org.bukkit.entity.Dolphin	Dolphin
org.bukkit.entity.Donkey	Donkey
org.bukkit.entity.DragonFireball	DragonFireball
org.bukkit.entity.Drowned	Drowned
org.bukkit.entity.Egg	Egg
org.bukkit.entity.ElderGuardian	ElderGuardian
org.bukkit.entity.EnderCrystal	EnderCrystal
org.bukkit.entity.EnderDragon	EnderDragon
org.bukkit.entity.EnderDragonPart	EnderDragonPart
org.bukkit.entity.EnderPearl	EnderPearl
org.bukkit.entity.EnderSignal	EnderSignal
org.bukkit.entity.Enderman	Enderman
org.bukkit.entity.Endermite	Endermite
org.bukkit.entity.Enemy	Enemy
org.bukkit.entity.Entity	Entity
org.bukkit.entity.EntityCategory	EntityCategory
org.bukkit.entity.EntityFactory	EntityFactory
org.bukkit.entity.EntitySnapshot	EntitySnapshot
org.bukkit.entity.EntityType	EntityType
org.bukkit.entity.Evoker	Evoker
org.bukkit.entity.EvokerFangs	EvokerFangs
org.bukkit.entity.ExperienceOrb	ExperienceOrb
org.bukkit.entity.Explosive	Explosive
org.bukkit.entity.FallingBlock	FallingBlock
org.bukkit.entity.Fireball	Fireball
org.bukkit.entity.Firework	Firework
org.bukkit.entity.Fish	Fish
org.bukkit.entity.FishHook	FishHook
org.bukkit.entity.Flying	Flying
org.bukkit.entity.Fox	Fox
org.bukkit.entity.Frog	Frog
org.bukkit.entity.Ghast	Ghast
org.bukkit.entity.Giant	Giant
org.bukkit.entity.GlowItemFrame	GlowItemFrame
org.bukkit.entity.GlowSquid	GlowSquid
org.bukkit.entity.Goat	Goat
org.bukkit.entity.Golem	Golem
org.bukkit.entity.Guardian	Guardian
org.bukkit.entity.Hanging	Hanging
org.bukkit.entity.HappyGhast	HappyGhast
org.bukkit.entity.Hoglin	Hoglin
org.bukkit.entity.Horse	Horse
org.bukkit.entity.HumanEntity	HumanEntity
org.bukkit.entity.Husk	Husk
org.bukkit.entity.Illager	Illager
org.bukkit.entity.Illusioner	Illusioner
org.bukkit.entity.Interaction	Interaction
org.bukkit.entity.IronGolem	IronGolem
org.bukkit.entity.Item	Item
org.bukkit.entity.ItemDisplay	ItemDisplay
org.bukkit.entity.ItemFrame	ItemFrame
org.bukkit.entity.LargeFireball	LargeFireball
org.bukkit.entity.LeashHitch	LeashHitch
org.bukkit.entity.LightningStrike	LightningStrike
org.bukkit.entity.LingeringPotion	LingeringPotion
org.bukkit.entity.LivingEntity	LivingEntity
org.bukkit.entity.Llama	Llama
org.bukkit.entity.LlamaSpit	LlamaSpit
org.bukkit.entity.MagmaCube	MagmaCube
org.bukkit.entity.Mannequin	Mannequin
org.bukkit.entity.Marker	Marker
org.bukkit.entity.Minecart	Minecart
org.bukkit.entity.Mob	Mob
org.bukkit.entity.Monster	Monster
org.bukkit.entity.Mule	Mule
org.bukkit.entity.MushroomCow	MushroomCow
org.bukkit.entity.NPC	NPC
org.bukkit.entity.Nautilus	Nautilus
org.bukkit.entity.Ocelot	Ocelot
org.bukkit.entity.OminousItemSpawner	OminousItemSpawner
org.bukkit.entity.Painting	Painting
org.bukkit.entity.Panda	Panda
org.bukkit.entity.Parched	Parched
org.bukkit.entity.Parrot	Parrot
org.bukkit.entity.Phantom	Phantom
org.bukkit.entity.Pig	Pig
org.bukkit.entity.PigZombie	PigZombie
org.bukkit.entity.Piglin	Piglin
org.bukkit.entity.PiglinAbstract	PiglinAbstract
org.bukkit.entity.PiglinBrute	PiglinBrute
org.bukkit.entity.Pillager	Pillager
org.bukkit.entity.Player	Player
org.bukkit.entity.PolarBear	PolarBear
org.bukkit.entity.Pose	Pose
org.bukkit.entity.Projectile	Projectile
org.bukkit.entity.PufferFish	PufferFish
org.bukkit.entity.Rabbit	Rabbit
org.bukkit.entity.Raider	Raider
org.bukkit.entity.Ravager	Ravager
org.bukkit.entity.Salmon	Salmon
org.bukkit.entity.Shearable	Shearable
org.bukkit.entity.Sheep	Sheep
org.bukkit.entity.Shulker	Shulker
org.bukkit.entity.ShulkerBullet	ShulkerBullet
org.bukkit.entity.Silverfish	Silverfish
org.bukkit.entity.Sittable	Sittable
org.bukkit.entity.SizedFireball	SizedFireball
org.bukkit.entity.Skeleton	Skeleton
org.bukkit.entity.SkeletonHorse	SkeletonHorse
org.bukkit.entity.Slime	Slime
org.bukkit.entity.SmallFireball	SmallFireball
org.bukkit.entity.Sniffer	Sniffer
org.bukkit.entity.Snowball	Snowball
